string,numbers,errors
adcbfeadcbe,"[1, 4, 3, 2, 6, 5, 1, 4, 3, 2, 5]",0
badcbbadccf,"[2, 1, 4, 3, 2, 2, 1, 4, 3, 3, 6]",0
fadcbfcfadc,"[6, 1, 4, 3, 2, 6, 3, 6, 1, 4, 3]",0
eadcfcfffea,"[5, 1, 4, 3, 6, 3, 6, 6, 6, 5, 1]",0
adcffadcbdc,"[1, 4, 3, 6, 6, 1, 4, 3, 2, 4, 3]",0
adcbffffccb,"[1, 4, 3, 2, 6, 6, 6, 6, 3, 3, 2]",0
eadcfcffead,"[5, 1, 4, 3, 6, 3, 6, 6, 5, 1, 4]",0
cfcfadccbad,"[3, 6, 3, 6, 1, 4, 3, 3, 2, 1, 4]",0
bbfeadcffea,"[2, 2, 6, 5, 1, 4, 3, 6, 6, 5, 1]",0
eadcbffeadc,"[5, 1, 4, 3, 2, 6, 6, 5, 1, 4, 3]",0
adcbccbfadc,"[1, 4, 3, 2, 3, 3, 2, 6, 1, 4, 3]",0
beadcbbffea,"[2, 5, 1, 4, 3, 2, 2, 6, 6, 5, 1]",0
adcfadcfead,"[1, 4, 3, 6, 1, 4, 3, 6, 5, 1, 4]",0
fadcbadcccf,"[6, 1, 4, 3, 2, 1, 4, 3, 3, 3, 6]",0
adcfcbdccbb,"[1, 4, 3, 6, 3, 2, 4, 3, 3, 2, 2]",0
eadcfcbadcf,"[5, 1, 4, 3, 6, 3, 2, 1, 4, 3, 6]",0
bbcfeadcfea,"[2, 2, 3, 6, 5, 1, 4, 3, 6, 5, 1]",0
dccbffadccf,"[4, 3, 3, 2, 6, 6, 1, 4, 3, 3, 6]",0
bdcbadccccb,"[2, 4, 3, 2, 1, 4, 3, 3, 3, 3, 2]",0
adcfcbdcbdc,"[1, 4, 3, 6, 3, 2, 4, 3, 2, 4, 3]",0
eadccbadccb,"[5, 1, 4, 3, 3, 2, 1, 4, 3, 3, 2]",0
adcccfeadcf,"[1, 4, 3, 3, 3, 6, 5, 1, 4, 3, 6]",0
fadcbbeadcc,"[6, 1, 4, 3, 2, 2, 5, 1, 4, 3, 3]",0
ccffadcbadc,"[3, 3, 6, 6, 1, 4, 3, 2, 1, 4, 3]",0
dccfcbdcbdc,"[4, 3, 3, 6, 3, 2, 4, 3, 2, 4, 3]",0
adcccbbfffc,"[1, 4, 3, 3, 3, 2, 2, 6, 6, 6, 3]",0
eadcbdccbad,"[5, 1, 4, 3, 2, 4, 3, 3, 2, 1, 4]",0
cfccbeadccb,"[3, 6, 3, 3, 2, 5, 1, 4, 3, 3, 2]",0
cfeadcfcbdc,"[3, 6, 5, 1, 4, 3, 6, 3, 2, 4, 3]",0
eadcffccbdc,"[5, 1, 4, 3, 6, 6, 3, 3, 2, 4, 3]",0
bbeadcfcfea,"[2, 2, 5, 1, 4, 3, 6, 3, 6, 5, 1]",0
dcbbfeadccb,"[4, 3, 2, 2, 6, 5, 1, 4, 3, 3, 2]",0
bdccbeadcff,"[2, 4, 3, 3, 2, 5, 1, 4, 3, 6, 6]",0
bffccfadcff,"[2, 6, 6, 3, 3, 6, 1, 4, 3, 6, 6]",0
adcfadcbdcb,"[1, 4, 3, 6, 1, 4, 3, 2, 4, 3, 2]",0
dcbdccfadcf,"[4, 3, 2, 4, 3, 3, 6, 1, 4, 3, 6]",0
bcbdccbcbbd,"[2, 3, 2, 4, 3, 3, 2, 3, 2, 2, 4]",0
adcbcccccff,"[1, 4, 3, 2, 3, 3, 3, 3, 3, 6, 6]",0
eadcbbadcbe,"[5, 1, 4, 3, 2, 2, 1, 4, 3, 2, 5]",0
eadcbbfcbea,"[5, 1, 4, 3, 2, 2, 6, 3, 2, 5, 1]",0
cbeadccfadc,"[3, 2, 5, 1, 4, 3, 3, 6, 1, 4, 3]",0
bdcfcbeadcf,"[2, 4, 3, 6, 3, 2, 5, 1, 4, 3, 6]",0
ffeadcbbfad,"[6, 6, 5, 1, 4, 3, 2, 2, 6, 1, 4]",0
bffeadcbdcc,"[2, 6, 6, 5, 1, 4, 3, 2, 4, 3, 3]",0
ccffffadcfe,"[3, 3, 6, 6, 6, 6, 1, 4, 3, 6, 5]",0
adcbbeadcbe,"[1, 4, 3, 2, 2, 5, 1, 4, 3, 2, 5]",0
beadcfffcfe,"[2, 5, 1, 4, 3, 6, 6, 6, 3, 6, 5]",0
dcbadccccba,"[4, 3, 2, 1, 4, 3, 3, 3, 3, 2, 1]",0
bfeadcfeadc,"[2, 6, 5, 1, 4, 3, 6, 5, 1, 4, 3]",0
eadccfffead,"[5, 1, 4, 3, 3, 6, 6, 6, 5, 1, 4]",0
ccfccbeadcb,"[3, 3, 6, 3, 3, 2, 5, 1, 4, 3, 2]",0
dcbeadcbead,"[4, 3, 2, 5, 1, 4, 3, 2, 5, 1, 4]",0
cbadcfadcbe,"[3, 2, 1, 4, 3, 6, 1, 4, 3, 2, 5]",0
dcfccfeadcf,"[4, 3, 6, 3, 3, 6, 5, 1, 4, 3, 6]",0
feadcfadcfe,"[6, 5, 1, 4, 3, 6, 1, 4, 3, 6, 5]",0
adcbeadcbea,"[1, 4, 3, 2, 5, 1, 4, 3, 2, 5, 1]",0
dcbadcfadcb,"[4, 3, 2, 1, 4, 3, 6, 1, 4, 3, 2]",0
adcfeadcbad,"[1, 4, 3, 6, 5, 1, 4, 3, 2, 1, 4]",0
feadcffadcc,"[6, 5, 1, 4, 3, 6, 6, 1, 4, 3, 3]",0
fccfeadcccf,"[6, 3, 3, 6, 5, 1, 4, 3, 3, 3, 6]",0
adccccbadcf,"[1, 4, 3, 3, 3, 3, 2, 1, 4, 3, 6]",0
fccbdcbadcc,"[6, 3, 3, 2, 4, 3, 2, 1, 4, 3, 3]",0
adccfccffea,"[1, 4, 3, 3, 6, 3, 3, 6, 6, 5, 1]",0
dccfcfcbcfe,"[4, 3, 3, 6, 3, 6, 3, 2, 3, 6, 5]",0
eadcffcfadc,"[5, 1, 4, 3, 6, 6, 3, 6, 1, 4, 3]",0
feadcbdcfcc,"[6, 5, 1, 4, 3, 2, 4, 3, 6, 3, 3]",0
cffcbffadcb,"[3, 6, 6, 3, 2, 6, 6, 1, 4, 3, 2]",0
dcbcbdccbea,"[4, 3, 2, 3, 2, 4, 3, 3, 2, 5, 1]",0
feadcfcfadc,"[6, 5, 1, 4, 3, 6, 3, 6, 1, 4, 3]",0
feadcffadcf,"[6, 5, 1, 4, 3, 6, 6, 1, 4, 3, 6]",0
bdcbadcfead,"[2, 4, 3, 2, 1, 4, 3, 6, 5, 1, 4]",0
cbbbeadcfea,"[3, 2, 2, 2, 5, 1, 4, 3, 6, 5, 1]",0
cffadccffcb,"[3, 6, 6, 1, 4, 3, 3, 6, 6, 3, 2]",0
bffadccbbbb,"[2, 6, 6, 1, 4, 3, 3, 2, 2, 2, 2]",0
eadcffeadcc,"[5, 1, 4, 3, 6, 6, 5, 1, 4, 3, 3]",0
bdccbdcbdcc,"[2, 4, 3, 3, 2, 4, 3, 2, 4, 3, 3]",0
bfeadccbdcc,"[2, 6, 5, 1, 4, 3, 3, 2, 4, 3, 3]",0
fcccbfccfcc,"[6, 3, 3, 3, 2, 6, 3, 3, 6, 3, 3]",0
feadcbbdccb,"[6, 5, 1, 4, 3, 2, 2, 4, 3, 3, 2]",0
eadcccffffa,"[5, 1, 4, 3, 3, 3, 6, 6, 6, 6, 1]",0
dcccbffadcf,"[4, 3, 3, 3, 2, 6, 6, 1, 4, 3, 6]",0
feadcfadcff,"[6, 5, 1, 4, 3, 6, 1, 4, 3, 6, 6]",0
dcfadcfccbf,"[4, 3, 6, 1, 4, 3, 6, 3, 3, 2, 6]",0
cffeadcbead,"[3, 6, 6, 5, 1, 4, 3, 2, 5, 1, 4]",0
cfccccfeadc,"[3, 6, 3, 3, 3, 3, 6, 5, 1, 4, 3]",0
fccfeadccba,"[6, 3, 3, 6, 5, 1, 4, 3, 3, 2, 1]",0
adcbbdcbfcc,"[1, 4, 3, 2, 2, 4, 3, 2, 6, 3, 3]",0
cbeadccbfad,"[3, 2, 5, 1, 4, 3, 3, 2, 6, 1, 4]",0
dcfeadcfffe,"[4, 3, 6, 5, 1, 4, 3, 6, 6, 6, 5]",0
eadcccfcffe,"[5, 1, 4, 3, 3, 3, 6, 3, 6, 6, 5]",0
ccfffcfeadc,"[3, 3, 6, 6, 6, 3, 6, 5, 1, 4, 3]",0
adccbadccbd,"[1, 4, 3, 3, 2, 1, 4, 3, 3, 2, 4]",0
bcfccbbadcb,"[2, 3, 6, 3, 3, 2, 2, 1, 4, 3, 2]",0
cbeadccbdcb,"[3, 2, 5, 1, 4, 3, 3, 2, 4, 3, 2]",0
fadccbfeadc,"[6, 1, 4, 3, 3, 2, 6, 5, 1, 4, 3]",0
dccccfadccb,"[4, 3, 3, 3, 3, 6, 1, 4, 3, 3, 2]",0
bdcbfeadccc,"[2, 4, 3, 2, 6, 5, 1, 4, 3, 3, 3]",0
dcbbadcbadc,"[4, 3, 2, 2, 1, 4, 3, 2, 1, 4, 3]",0
fccbdcccbba,"[6, 3, 3, 2, 4, 3, 3, 3, 2, 2, 1]",0
ffadcbfadcf,"[6, 6, 1, 4, 3, 2, 6, 1, 4, 3, 6]",0
badcbeadcfe,"[2, 1, 4, 3, 2, 5, 1, 4, 3, 6, 5]",0
eadcfffadcc,"[5, 1, 4, 3, 6, 6, 6, 1, 4, 3, 3]",0
bbeadcbfead,"[2, 2, 5, 1, 4, 3, 2, 6, 5, 1, 4]",0
bcbcbadccfc,"[2, 3, 2, 3, 2, 1, 4, 3, 3, 6, 3]",0
adcffeadcfe,"[1, 4, 3, 6, 6, 5, 1, 4, 3, 6, 5]",0
dccfffeadcb,"[4, 3, 3, 6, 6, 6, 5, 1, 4, 3, 2]",0
dccfcbeadcc,"[4, 3, 3, 6, 3, 2, 5, 1, 4, 3, 3]",0
cbeadcfadcc,"[3, 2, 5, 1, 4, 3, 6, 1, 4, 3, 3]",0
adcccfeadcf,"[1, 4, 3, 3, 3, 6, 5, 1, 4, 3, 6]",0
dcfeadccfad,"[4, 3, 6, 5, 1, 4, 3, 3, 6, 1, 4]",0
eadcfccffcf,"[5, 1, 4, 3, 6, 3, 3, 6, 6, 3, 6]",0
eadcfeadcbe,"[5, 1, 4, 3, 6, 5, 1, 4, 3, 2, 5]",0
bcffcbadcfe,"[2, 3, 6, 6, 3, 2, 1, 4, 3, 6, 5]",0
eadcccbfead,"[5, 1, 4, 3, 3, 3, 2, 6, 5, 1, 4]",0
fccbbeadccf,"[6, 3, 3, 2, 2, 5, 1, 4, 3, 3, 6]",0
cffeadcbbfa,"[3, 6, 6, 5, 1, 4, 3, 2, 2, 6, 1]",0
dccfeadcfea,"[4, 3, 3, 6, 5, 1, 4, 3, 6, 5, 1]",0
beadcbadcbe,"[2, 5, 1, 4, 3, 2, 1, 4, 3, 2, 5]",0
eadcfffadcb,"[5, 1, 4, 3, 6, 6, 6, 1, 4, 3, 2]",0
cfadccbadcb,"[3, 6, 1, 4, 3, 3, 2, 1, 4, 3, 2]",0
eadcbdccbbe,"[5, 1, 4, 3, 2, 4, 3, 3, 2, 2, 5]",0
dcfeadccfcf,"[4, 3, 6, 5, 1, 4, 3, 3, 6, 3, 6]",0
bccffeadcff,"[2, 3, 3, 6, 6, 5, 1, 4, 3, 6, 6]",0
adcbadcfadc,"[1, 4, 3, 2, 1, 4, 3, 6, 1, 4, 3]",0
adcfadcbadc,"[1, 4, 3, 6, 1, 4, 3, 2, 1, 4, 3]",0
cfadcffffad,"[3, 6, 1, 4, 3, 6, 6, 6, 6, 1, 4]",0
bfcfadcffff,"[2, 6, 3, 6, 1, 4, 3, 6, 6, 6, 6]",0
adcbadcfead,"[1, 4, 3, 2, 1, 4, 3, 6, 5, 1, 4]",0
cbcbeadcfea,"[3, 2, 3, 2, 5, 1, 4, 3, 6, 5, 1]",0
eadcbadcbad,"[5, 1, 4, 3, 2, 1, 4, 3, 2, 1, 4]",0
ccbcccbdccb,"[3, 3, 2, 3, 3, 3, 2, 4, 3, 3, 2]",0
cccfcfadcbe,"[3, 3, 3, 6, 3, 6, 1, 4, 3, 2, 5]",0
fcfadcbdccb,"[6, 3, 6, 1, 4, 3, 2, 4, 3, 3, 2]",0
eadcbbdcccb,"[5, 1, 4, 3, 2, 2, 4, 3, 3, 3, 2]",0
adccbfcfead,"[1, 4, 3, 3, 2, 6, 3, 6, 5, 1, 4]",0
eadccbadcfe,"[5, 1, 4, 3, 3, 2, 1, 4, 3, 6, 5]",0
eadcccccfea,"[5, 1, 4, 3, 3, 3, 3, 3, 6, 5, 1]",0
dcbfeadcfcc,"[4, 3, 2, 6, 5, 1, 4, 3, 6, 3, 3]",0
fadcfffadcf,"[6, 1, 4, 3, 6, 6, 6, 1, 4, 3, 6]",0
dcccbeadcbb,"[4, 3, 3, 3, 2, 5, 1, 4, 3, 2, 2]",0
adcfcbfeadc,"[1, 4, 3, 6, 3, 2, 6, 5, 1, 4, 3]",0
badccbadccc,"[2, 1, 4, 3, 3, 2, 1, 4, 3, 3, 3]",0
eadccfeadcf,"[5, 1, 4, 3, 3, 6, 5, 1, 4, 3, 6]",0
eadccfadcbd,"[5, 1, 4, 3, 3, 6, 1, 4, 3, 2, 4]",0
bfadcccfffe,"[2, 6, 1, 4, 3, 3, 3, 6, 6, 6, 5]",0
eadcbdccbbd,"[5, 1, 4, 3, 2, 4, 3, 3, 2, 2, 4]",0
dcbcbeadcba,"[4, 3, 2, 3, 2, 5, 1, 4, 3, 2, 1]",0
adcbffeadcc,"[1, 4, 3, 2, 6, 6, 5, 1, 4, 3, 3]",0
eadcccbadcc,"[5, 1, 4, 3, 3, 3, 2, 1, 4, 3, 3]",0
fccbbccbbdc,"[6, 3, 3, 2, 2, 3, 3, 2, 2, 4, 3]",0
eadcbdccffc,"[5, 1, 4, 3, 2, 4, 3, 3, 6, 6, 3]",0
adcbadccccb,"[1, 4, 3, 2, 1, 4, 3, 3, 3, 3, 2]",0
dcbadccfadc,"[4, 3, 2, 1, 4, 3, 3, 6, 1, 4, 3]",0
beadcfcfcfe,"[2, 5, 1, 4, 3, 6, 3, 6, 3, 6, 5]",0
bcbcbffadcc,"[2, 3, 2, 3, 2, 6, 6, 1, 4, 3, 3]",0
fadcbeadccb,"[6, 1, 4, 3, 2, 5, 1, 4, 3, 3, 2]",0
ccbcbbeadcc,"[3, 3, 2, 3, 2, 2, 5, 1, 4, 3, 3]",0
adccbeadccb,"[1, 4, 3, 3, 2, 5, 1, 4, 3, 3, 2]",0
dcbeadcfead,"[4, 3, 2, 5, 1, 4, 3, 6, 5, 1, 4]",0
eadcfeadcff,"[5, 1, 4, 3, 6, 5, 1, 4, 3, 6, 6]",0
eadcccffadc,"[5, 1, 4, 3, 3, 3, 6, 6, 1, 4, 3]",0
eadcbdcbcff,"[5, 1, 4, 3, 2, 4, 3, 2, 3, 6, 6]",0
bdcccbfcfad,"[2, 4, 3, 3, 3, 2, 6, 3, 6, 1, 4]",0
fccffccfffa,"[6, 3, 3, 6, 6, 3, 3, 6, 6, 6, 1]",0
eadcbcbeadc,"[5, 1, 4, 3, 2, 3, 2, 5, 1, 4, 3]",0
eadccbfeadc,"[5, 1, 4, 3, 3, 2, 6, 5, 1, 4, 3]",0
cfeadccfead,"[3, 6, 5, 1, 4, 3, 3, 6, 5, 1, 4]",0
dccccffeadc,"[4, 3, 3, 3, 3, 6, 6, 5, 1, 4, 3]",0
eadccfcccfc,"[5, 1, 4, 3, 3, 6, 3, 3, 3, 6, 3]",0
badcccfccfe,"[2, 1, 4, 3, 3, 3, 6, 3, 3, 6, 5]",0
feadcbcfadc,"[6, 5, 1, 4, 3, 2, 3, 6, 1, 4, 3]",0
dccbadcbead,"[4, 3, 3, 2, 1, 4, 3, 2, 5, 1, 4]",0
cbbbadcbfcf,"[3, 2, 2, 2, 1, 4, 3, 2, 6, 3, 6]",0
feadccbadcc,"[6, 5, 1, 4, 3, 3, 2, 1, 4, 3, 3]",0
feadcfeadcf,"[6, 5, 1, 4, 3, 6, 5, 1, 4, 3, 6]",0
eadccbadcff,"[5, 1, 4, 3, 3, 2, 1, 4, 3, 6, 6]",0
bdcccffadcc,"[2, 4, 3, 3, 3, 6, 6, 1, 4, 3, 3]",0
fadcffeadcf,"[6, 1, 4, 3, 6, 6, 5, 1, 4, 3, 6]",0
bdcbeadcccf,"[2, 4, 3, 2, 5, 1, 4, 3, 3, 3, 6]",0
eadcbdcbead,"[5, 1, 4, 3, 2, 4, 3, 2, 5, 1, 4]",0
bbbadccbcfa,"[2, 2, 2, 1, 4, 3, 3, 2, 3, 6, 1]",0
cfeadccbfff,"[3, 6, 5, 1, 4, 3, 3, 2, 6, 6, 6]",0
ffccbfcfead,"[6, 6, 3, 3, 2, 6, 3, 6, 5, 1, 4]",0
bbadcfadccf,"[2, 2, 1, 4, 3, 6, 1, 4, 3, 3, 6]",0
adccbadcfad,"[1, 4, 3, 3, 2, 1, 4, 3, 6, 1, 4]",0
cbeadcccbad,"[3, 2, 5, 1, 4, 3, 3, 3, 2, 1, 4]",0
eadcbeadcff,"[5, 1, 4, 3, 2, 5, 1, 4, 3, 6, 6]",0
bfeadccbcba,"[2, 6, 5, 1, 4, 3, 3, 2, 3, 2, 1]",0
ccffeadcffe,"[3, 3, 6, 6, 5, 1, 4, 3, 6, 6, 5]",0
cfadcbccfea,"[3, 6, 1, 4, 3, 2, 3, 3, 6, 5, 1]",0
fcbcbeadcbf,"[6, 3, 2, 3, 2, 5, 1, 4, 3, 2, 6]",0
ccfcbdcbdcf,"[3, 3, 6, 3, 2, 4, 3, 2, 4, 3, 6]",0
adcccfccfad,"[1, 4, 3, 3, 3, 6, 3, 3, 6, 1, 4]",0
badcfcfeadc,"[2, 1, 4, 3, 6, 3, 6, 5, 1, 4, 3]",0
badcfeadcfa,"[2, 1, 4, 3, 6, 5, 1, 4, 3, 6, 1]",0
fcbadccbcfe,"[6, 3, 2, 1, 4, 3, 3, 2, 3, 6, 5]",0
bfeadcccbcf,"[2, 6, 5, 1, 4, 3, 3, 3, 2, 3, 6]",0
ccbeadccbdc,"[3, 3, 2, 5, 1, 4, 3, 3, 2, 4, 3]",0
cffadcfadcf,"[3, 6, 6, 1, 4, 3, 6, 1, 4, 3, 6]",0
dcbeadcbadc,"[4, 3, 2, 5, 1, 4, 3, 2, 1, 4, 3]",0
adcfadcbbdc,"[1, 4, 3, 6, 1, 4, 3, 2, 2, 4, 3]",0
eadcbcbadcb,"[5, 1, 4, 3, 2, 3, 2, 1, 4, 3, 2]",0
bcfadccffad,"[2, 3, 6, 1, 4, 3, 3, 6, 6, 1, 4]",0
bbbccbeadcb,"[2, 2, 2, 3, 3, 2, 5, 1, 4, 3, 2]",0
beadccccbcb,"[2, 5, 1, 4, 3, 3, 3, 3, 2, 3, 2]",0
ccfeadcfcfc,"[3, 3, 6, 5, 1, 4, 3, 6, 3, 6, 3]",0
adcfeadcfad,"[1, 4, 3, 6, 5, 1, 4, 3, 6, 1, 4]",0
adcfeadcbad,"[1, 4, 3, 6, 5, 1, 4, 3, 2, 1, 4]",0
bbadcccccbd,"[2, 2, 1, 4, 3, 3, 3, 3, 3, 2, 4]",0
adccfadcbad,"[1, 4, 3, 3, 6, 1, 4, 3, 2, 1, 4]",0
ccffeadcfea,"[3, 3, 6, 6, 5, 1, 4, 3, 6, 5, 1]",0
eadcbeadcbb,"[5, 1, 4, 3, 2, 5, 1, 4, 3, 2, 2]",0
dccfccbbbea,"[4, 3, 3, 6, 3, 3, 2, 2, 2, 5, 1]",0
dcfadcffadc,"[4, 3, 6, 1, 4, 3, 6, 6, 1, 4, 3]",0
bfeadccffad,"[2, 6, 5, 1, 4, 3, 3, 6, 6, 1, 4]",0
bdccbccffcc,"[2, 4, 3, 3, 2, 3, 3, 6, 6, 3, 3]",0
fadcbbdccbe,"[6, 1, 4, 3, 2, 2, 4, 3, 3, 2, 5]",0
adccbbcfccc,"[1, 4, 3, 3, 2, 2, 3, 6, 3, 3, 3]",0
eadccffcbad,"[5, 1, 4, 3, 3, 6, 6, 3, 2, 1, 4]",0
eadccbeadcf,"[5, 1, 4, 3, 3, 2, 5, 1, 4, 3, 6]",0
badcbdccfad,"[2, 1, 4, 3, 2, 4, 3, 3, 6, 1, 4]",0
beadcbdccfe,"[2, 5, 1, 4, 3, 2, 4, 3, 3, 6, 5]",0
adcfadcffea,"[1, 4, 3, 6, 1, 4, 3, 6, 6, 5, 1]",0
ccfeadccfcc,"[3, 3, 6, 5, 1, 4, 3, 3, 6, 3, 3]",0
eadcbbfadcb,"[5, 1, 4, 3, 2, 2, 6, 1, 4, 3, 2]",0
dcfadcbccfa,"[4, 3, 6, 1, 4, 3, 2, 3, 3, 6, 1]",0
bbfadccbdcc,"[2, 2, 6, 1, 4, 3, 3, 2, 4, 3, 3]",0
adcfeadccbd,"[1, 4, 3, 6, 5, 1, 4, 3, 3, 2, 4]",0
feadcfeadcc,"[6, 5, 1, 4, 3, 6, 5, 1, 4, 3, 3]",0
bdcbccccbff,"[2, 4, 3, 2, 3, 3, 3, 3, 2, 6, 6]",0
ffadcbfccfa,"[6, 6, 1, 4, 3, 2, 6, 3, 3, 6, 1]",0
eadcbadcfff,"[5, 1, 4, 3, 2, 1, 4, 3, 6, 6, 6]",0
fcbeadcccfe,"[6, 3, 2, 5, 1, 4, 3, 3, 3, 6, 5]",0
adcbcfadcbe,"[1, 4, 3, 2, 3, 6, 1, 4, 3, 2, 5]",0
bdcffadcbcf,"[2, 4, 3, 6, 6, 1, 4, 3, 2, 3, 6]",0
bdcbfcbadcb,"[2, 4, 3, 2, 6, 3, 2, 1, 4, 3, 2]",0
bbdcccccbcb,"[2, 2, 4, 3, 3, 3, 3, 3, 2, 3, 2]",0
bfcbeadcccc,"[2, 6, 3, 2, 5, 1, 4, 3, 3, 3, 3]",0
eadccfccfcc,"[5, 1, 4, 3, 3, 6, 3, 3, 6, 3, 3]",0
bdcfadccfad,"[2, 4, 3, 6, 1, 4, 3, 3, 6, 1, 4]",0
bffadccbdcc,"[2, 6, 6, 1, 4, 3, 3, 2, 4, 3, 3]",0
cccbcfcbdcc,"[3, 3, 3, 2, 3, 6, 3, 2, 4, 3, 3]",0
cfeadcfcbfa,"[3, 6, 5, 1, 4, 3, 6, 3, 2, 6, 1]",0
adcbeadccff,"[1, 4, 3, 2, 5, 1, 4, 3, 3, 6, 6]",0
ffeadccbffc,"[6, 6, 5, 1, 4, 3, 3, 2, 6, 6, 3]",0
badcbfeadcf,"[2, 1, 4, 3, 2, 6, 5, 1, 4, 3, 6]",0
ffadcbdccba,"[6, 6, 1, 4, 3, 2, 4, 3, 3, 2, 1]",0
fadcbcbcccb,"[6, 1, 4, 3, 2, 3, 2, 3, 3, 3, 2]",0
feadcbdccbd,"[6, 5, 1, 4, 3, 2, 4, 3, 3, 2, 4]",0
adcffeadccb,"[1, 4, 3, 6, 6, 5, 1, 4, 3, 3, 2]",0
cbeadcfccfe,"[3, 2, 5, 1, 4, 3, 6, 3, 3, 6, 5]",0
eadcfadcbbc,"[5, 1, 4, 3, 6, 1, 4, 3, 2, 2, 3]",0
dcfadcccbea,"[4, 3, 6, 1, 4, 3, 3, 3, 2, 5, 1]",0
beadccfeadc,"[2, 5, 1, 4, 3, 3, 6, 5, 1, 4, 3]",0
eadcbfeadcc,"[5, 1, 4, 3, 2, 6, 5, 1, 4, 3, 3]",0
eadcccccfff,"[5, 1, 4, 3, 3, 3, 3, 3, 6, 6, 6]",0
dccccfadccb,"[4, 3, 3, 3, 3, 6, 1, 4, 3, 3, 2]",0
dcfeadcbffa,"[4, 3, 6, 5, 1, 4, 3, 2, 6, 6, 1]",0
adcfeadcccb,"[1, 4, 3, 6, 5, 1, 4, 3, 3, 3, 2]",0
bdccfadcfcb,"[2, 4, 3, 3, 6, 1, 4, 3, 6, 3, 2]",0
feadcffeadc,"[6, 5, 1, 4, 3, 6, 6, 5, 1, 4, 3]",0
